ticker,name,sector,exchange,industry
OTC:QUBSF,QUBSF,Transportation,OTC,Airlines
OTC:FSUMF,FSUMF,Non-Energy Minerals,OTC,Steel
OTC:SEGXF,SEGXF,Finance,OTC,Real Estate Investment Trusts
OTC:ELRXF,ELRXF,Consumer Durables,OTC,Electronics/Appliances
OTC:CLBEY,CLBEY,Consumer Non-Durables,OTC,Food: Specialty/Candy
OTC:NPSKY,NPSKY,Producer Manufacturing,OTC,Auto Parts: OEM
OTC:CPBLF,CPBLF,Commercial Services,OTC,Miscellaneous Commercial Services
OTC:TOKUY,TOKUY,Retail Trade,OTC,Department Stores
OTC:ACOPY,ACOPY,Consumer Non-Durables,OTC,Food: Meat/Fish/Dairy
OTC:MZDAF,MZDAF,Consumer Durables,OTC,Motor Vehicles
OTC:SHMUF,SHMUF,Industrial Services,OTC,Engineering & Construction
OTC:BKQNY,BKQNY,Finance,OTC,Major Banks
OTC:CKHUF,CKHUF,Retail Trade,OTC,Specialty Stores
OTC:VTKLY,VTKLY,Consumer Durables,OTC,Recreational Products
OTC:MEJHY,MEJHY,Consumer Non-Durables,OTC,Food: Specialty/Candy
OTC:GIFLF,GIFLF,Health Technology,OTC,Pharmaceuticals: Major
OTC:KOTMY,KOTMY,Producer Manufacturing,OTC,Auto Parts: OEM
OTC:WXIBF,WXIBF,Health Technology,OTC,Biotechnology
OTC:SMSMY,SMSMY,Non-Energy Minerals,OTC,Steel
AMEX:FISK,FISK,Finance,AMEX,Real Estate Investment Trusts
OTC:TLSNF,TLSNF,Communications,OTC,Specialty Telecommunications
OTC:APAJF,APAJF,Utilities,OTC,Gas Distributors
OTC:IPGDF,IPGDF,Non-Energy Minerals,OTC,Other Metals/Minerals
OTC:SSAAF,SSAAF,Producer Manufacturing,OTC,Metal Fabrication
OTC:MAPIF,MAPIF,Finance,OTC,Real Estate Investment Trusts
OTC:PEXUF,PEXUF,Energy Minerals,OTC,Integrated Oil
OTC:HELFY,HELFY,Retail Trade,OTC,Internet Retail
OTC:FMOCY,FMOCY,Industrial Services,OTC,Environmental Services
OTC:BDWBY,BDWBY,Consumer Non-Durables,OTC,Beverages: Alcoholic
OTC:KSRYY,KSRYY,Consumer Non-Durables,OTC,Household/Personal Care
OTC:CVPBF,CVPBF,Retail Trade,OTC,Food Retail
OTC:IAUGF,IAUGF,Finance,OTC,Property/Casualty Insurance
