ticker,name,sector,exchange,industry
NASDAQ:TSLA,TSLA,Consumer Durables,NASDAQ,Motor Vehicles
NASDAQ:NVDA,NVDA,Electronic Technology,NASDAQ,Semiconductors
NASDAQ:AAPL,AAPL,Electronic Technology,NASDAQ,Telecommunications Equipment
NASDAQ:INTC,INTC,Electronic Technology,NASDAQ,Semiconductors
NASDAQ:AMZN,AMZN,Retail Trade,NASDAQ,Internet Retail
NASDAQ:MSFT,MSFT,Technology Services,NASDAQ,Packaged Software
NASDAQ:PLTR,PLTR,Technology Services,NASDAQ,Packaged Software
NYSE:ORCL,ORCL,Technology Services,NYSE,Packaged Software
NASDAQ:META,META,Technology Services,NASDAQ,Internet Software/Services
NASDAQ:AVGO,AVGO,Electronic Technology,NASDAQ,Semiconductors
NASDAQ:AMD,AMD,Electronic Technology,NASDAQ,Semiconductors
NASDAQ:GOOGL,GOOGL,Technology Services,NASDAQ,Internet Software/Services
NASDAQ:COST,COST,Retail Trade,NASDAQ,Specialty Stores
NASDAQ:GOOG,GOOG,Technology Services,NASDAQ,Internet Software/Services
NASDAQ:APP,APP,Technology Services,NASDAQ,Packaged Software
NYSE:BA,BA,Electronic Technology,NYSE,Aerospace & Defense
NASDAQ:MU,MU,Electronic Technology,NASDAQ,Semiconductors
NASDAQ:MSTR,MSTR,Technology Services,NASDAQ,Internet Software/Services
NASDAQ:CRWV,CRWV,Technology Services,NASDAQ,Packaged Software
NYSE:V,V,Finance,NYSE,Finance/Rental/Leasing
NASDAQ:HOOD,HOOD,Finance,NASDAQ,Investment Banks/Brokers
NASDAQ:RGTI,RGTI,Electronic Technology,NASDAQ,Computer Processing Hardware
NASDAQ:EA,EA,Technology Services,NASDAQ,Packaged Software
NYSE:OKLO,OKLO,Producer Manufacturing,NYSE,Industrial Machinery
NYSE:LLY,LLY,Health Technology,NYSE,Pharmaceuticals: Major
NYSE:IBM,IBM,Technology Services,NYSE,Information Technology Services
NASDAQ:IREN,IREN,Technology Services,NASDAQ,Data Processing Services
NASDAQ:NFLX,NFLX,Technology Services,NASDAQ,Internet Software/Services
NYSE:UNH,UNH,Health Services,NYSE,Managed Health Care
NYSE:JPM,JPM,Finance,NYSE,Major Banks
NASDAQ:MRVL,MRVL,Electronic Technology,NASDAQ,Semiconductors
NYSE:XOM,XOM,Energy Minerals,NYSE,Integrated Oil
NYSE:IONQ,IONQ,Electronic Technology,NYSE,Computer Processing Hardware
NASDAQ:COIN,COIN,Finance,NASDAQ,Investment Banks/Brokers
AMEX:BMNR,BMNR,Finance,AMEX,Financial Conglomerates
NYSE:ACN,ACN,Technology Services,NYSE,Information Technology Services
NYSE:BRK.B,BRK/B,Finance,NYSE,Property/Casualty Insurance
NYSE:QBTS,QBTS,Electronic Technology,NYSE,Computer Processing Hardware
NASDAQ:NBIS,NBIS,Technology Services,NASDAQ,Packaged Software
NYSE:HIMS,HIMS,Health Services,NYSE,Medical/Nursing Services
NYSE:JNJ,JNJ,Health Technology,NYSE,Pharmaceuticals: Major
NASDAQ:AMAT,AMAT,Producer Manufacturing,NASDAQ,Industrial Machinery
NYSE:FCX,FCX,Non-Energy Minerals,NYSE,Other Metals/Minerals
NASDAQ:OPEN,OPEN,Finance,NASDAQ,Real Estate Development
NYSE:F,F,Consumer Durables,NYSE,Motor Vehicles
NYSE:SNAP,SNAP,Technology Services,NYSE,Packaged Software
NYSE:MP,MP,Non-Energy Minerals,NYSE,Other Metals/Minerals
NASDAQ:SNPS,SNPS,Technology Services,NASDAQ,Packaged Software
NYSE:WMT,WMT,Retail Trade,NYSE,Specialty Stores
NYSE:CRM,CRM,Technology Services,NYSE,Packaged Software
NYSE:GEV,GEV,Producer Manufacturing,NYSE,Electrical Products
NASDAQ:CIFR,CIFR,Technology Services,NASDAQ,Data Processing Services
NYSE:LAC,LAC,Process Industries,NYSE,Chemicals: Specialty
NYSE:MA,MA,Finance,NYSE,Finance/Rental/Leasing
NASDAQ:CSCO,CSCO,Electronic Technology,NASDAQ,Telecommunications Equipment
NYSE:TMO,TMO,Health Technology,NYSE,Medical Specialties
NASDAQ:QURE,QURE,Health Technology,NASDAQ,Biotechnology
NASDAQ:ALAB,ALAB,Electronic Technology,NASDAQ,Semiconductors
NYSE:BE,BE,Producer Manufacturing,NYSE,Electrical Products
NASDAQ:ADBE,ADBE,Technology Services,NASDAQ,Packaged Software
NYSE:NOW,NOW,Technology Services,NYSE,Packaged Software
NYSE:GE,GE,Electronic Technology,NYSE,Aerospace & Defense
NASDAQ:QCOM,QCOM,Electronic Technology,NASDAQ,Semiconductors
NASDAQ:LRCX,LRCX,Producer Manufacturing,NASDAQ,Industrial Machinery
NYSE:KO,KO,Consumer Non-Durables,NYSE,Beverages: Non-Alcoholic
NASDAQ:ISRG,ISRG,Health Technology,NASDAQ,Medical Specialties
NYSE:BAC,BAC,Finance,NYSE,Major Banks
NYSE:RDDT,RDDT,Technology Services,NYSE,Internet Software/Services
NASDAQ:PEP,PEP,Consumer Non-Durables,NASDAQ,Food: Specialty/Candy
NASDAQ:ZS,ZS,Technology Services,NASDAQ,Packaged Software
NASDAQ:DLTR,DLTR,Retail Trade,NASDAQ,Discount Stores
NYSE:SNOW,SNOW,Technology Services,NYSE,Packaged Software
NYSE:CVX,CVX,Energy Minerals,NYSE,Integrated Oil
NASDAQ:RKLB,RKLB,Electronic Technology,NASDAQ,Aerospace & Defense
NYSE:RBLX,RBLX,Technology Services,NYSE,Packaged Software
NASDAQ:TXN,TXN,Electronic Technology,NASDAQ,Semiconductors
NYSE:C,C,Finance,NYSE,Major Banks
NASDAQ:INTU,INTU,Technology Services,NASDAQ,Packaged Software
NYSE:SMR,SMR,Producer Manufacturing,NYSE,Electrical Products
NYSE:UNP,UNP,Transportation,NYSE,Railroads
NASDAQ:SOFI,SOFI,Finance,NASDAQ,Finance/Rental/Leasing
NYSE:GS,GS,Finance,NYSE,Investment Banks/Brokers
NASDAQ:CRWD,CRWD,Technology Services,NASDAQ,Packaged Software
NASDAQ:HWH,HWH,Finance,NASDAQ,Financial Conglomerates
NYSE:HD,HD,Retail Trade,NYSE,Home Improvement Chains
NASDAQ:AFRM,AFRM,Finance,NASDAQ,Finance/Rental/Leasing
NYSE:DELL,DELL,Electronic Technology,NYSE,Computer Processing Hardware
NASDAQ:IPDN,IPDN,Commercial Services,NASDAQ,Commercial Printing/Forms
NYSE:UBER,UBER,Transportation,NYSE,Other Transportation
NASDAQ:MDB,MDB,Technology Services,NASDAQ,Packaged Software
NASDAQ:ADSK,ADSK,Technology Services,NASDAQ,Packaged Software
NYSE:CAT,CAT,Producer Manufacturing,NYSE,Trucks/Construction/Farm Machinery
