name
WBD
BBAI
F
VALE
YMM
NIO
SNAP
ACHR
NVTS
SPXS
AUR
ULTY
CLF
ITUB
AGNC
CX
LCID
PSLV
AMCR
SNGX
GRAB
GENI
ADT
CASI
CNH
FAZ
DNN
ATEC
RXRX
UEC
WULF
GTM
EOSE
BTBT
BBD
WBA
PTON
CIFR
HLN
HL
ERIC
VOD
BCRX
CDE
PARA
GT
UUUU
PGX
COMP
NOK
BTG
LYG
PDBC
BLDE
SBSW
VLY
NWL
SPDN
FUBO
AG
ASX
WU
EQX
INMB
JBLU
RIG
VTRS
LUMN
SAND
FLG
AUPH
NVDD
TIC
FSM
CCCS
IAG
SAN
DX
FOLD
PAYO
MSOS
NWG
BB
GNW
OLO
WT
UAA
VIGL
ARRY
DNB
PTEN
RITM
GGB
PBR.A
HIVE
NGD
ROIV
PL
IOVA
ABEV
HTZ
SHLS
WIT
NXE
COUR
LBTYA
UMC
MQ
AIP
PBI
ATAI
MPW
HBI
AMC
TIGR
LXP
PAGS
APPS
AEG
ICLN
ORC
BGC
RZLV
ARDX
LEG
GTX
PRME
NB
DRH
PRCH
PSEC
BMBL
KOS
MFG
TALO
COTY
LX
BTE
UWMC
EXK
OCUL
BCDA
BYON
XRX
SBH
TWO
SGHC
ATYR
MLCO
SSRM
ADPT
HBM
PGRE
OXLC
PHLT
MTAL
HLMN
ASPI
MODG
CLOV
NEXT
GOGL
ALIT
CRML
VIAV
LAC
UNIT
UA
EVGO
DVAX
GERN
TNGX
AQN
EVLV
EFC
HLVX
IBRX
ABCL
LBTYK
XERS
SANA
ARHS
LZ
NABL
DNUT
HNST
HLF
LION
IQ
FBRT
REAL
SVV
VMEO
UDMY
JMIA
AVDX
FSLY
AHCO
ECC
LILAK
BGS
CXM
AMPL
MFA
CLVT
SUZ
DPRO
CMPS
COGT
PDYN
FIP
PMT
PUMP
MCW
BDN
GNL
PTY
MNMD
BKD
CRE
CLM
HCMAU
EC
DHT
AMRX
SPCE
ULCC
LADR
SHO
FIGS
ZGN
STGW
NAGE
SVM
ARI
ADTN
PDO
RLJ
NAD
ABSI
IE
ATLX
RLAY
AKBA
HOPE
ESRT
HDSN
ECVT
AVXL
ETNB
NG
INDI
RES
POET
RERE
BXMX
ZYXI
TAC
SXC
FSCO
ORLA
SABR
HPP
TRVI
BRFS
NEA
GROY
